id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5970821,Amazing Seabright Beach Cottage,15621080,Sabina,,City of Santa Cruz,36.96575,-122.00801,Entire home/apt,402,2,447,2022-09-12,4.93,1,276,47,
6004171,Ohana with Private Outdoor Shower and Hot Tub,30168031,Kevin And Linda,,Unincorporated Areas,36.98164,-121.92127,Private room,175,1,631,2022-09-25,6.96,1,59,74,
6016277,House 72,29898175,At The Dunes,,Unincorporated Areas,36.85437,-121.812248,Entire home/apt,1107,1,110,2022-08-16,1.22,32,266,21,
6022117,A Modern Harbor Side Oasis,1001896,Julietta & Rajiv,,City of Santa Cruz,36.9664,-122.00093,Entire home/apt,180,2,204,2022-09-18,2.31,1,342,41,
6087875,Lovely Retreat Nestled in the Woods,30536103,Stephanie,,City of Scotts Valley,37.07225,-121.98701,Entire home/apt,110,2,798,2022-09-15,8.82,1,299,87,
6107532,Spectacular Ocean Front Luxury Home,31691139,Michelle,,City of Capitola,36.97296,-121.94828,Entire home/apt,500,30,6,2022-07-21,0.12,2,316,1,
6199468,Wonderful House in Pleasure Point,32149853,Neill,,City of Capitola,36.96265,-121.9685,Entire home/apt,550,30,14,2022-09-12,0.16,1,216,3,
6207096,Private Room in a Mountain Oasis,1456416,Mark & Wendy,,Unincorporated Areas,37.16239,-122.01432,Private room,125,1,15,2020-08-15,0.17,2,362,0,
6213348,Sunset Cottage,27507663,Nonie,,Unincorporated Areas,36.8939,-121.83505,Entire home/apt,257,2,511,2022-09-09,5.67,1,285,83,
6276624,Gorgeous Bungalow 3 blocks to beach,3407217,Jeremy,,City of Capitola,36.96611,-121.96374,Entire home/apt,275,3,34,2017-05-30,0.40,1,89,0,
6276714,La Selva Beach Ocean View! Santa Cruz area,31183990,Lori,,Unincorporated Areas,36.9291,-121.85776,Entire home/apt,350,3,53,2022-08-21,0.96,1,295,10,
6287990,Sunny Corralitos Private Room/Bath,31597228,Kris,,Unincorporated Areas,36.98641,-121.81036,Private room,121,2,93,2022-09-18,1.04,1,343,27,
